Date,Time,Teams,Venue,Type,Result
April 30,4:00 PM,Delhi Capitals Vs Kochi Tuskers Kerala,Nehru Stadium, Kochi,Leag,Delhi Capitals Won by 38 Run(s)
April 30,8:00 PM,Kings XI Punjab Vs Kolkata Knight Riders,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by 8 Wicket(s)
May 1,4:00 PM,Chennai Super Kings Vs Deccan Chargers,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 19 Run(s)
May 1,8:00 PM,Pune Warriors India Vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,Leag,Rajasthan Royals Won by 6 Wicket(s)
May 2,4:00 PM,Mumbai Indians Vs Kings XI Punjab,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 23 Run(s)
May 2,8:00 PM,Delhi Capitals Vs Kochi Tuskers Kerala,Feroz Shah Kotla, Delhi,Leag,Kochi Tuskers Kerala Won by 7 Wicket(s)
May 3,8:00 PM,Kolkata Knight Riders Vs Deccan Chargers,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Kolkata Knight Riders Won by 20 Run(s)
May 4,4:00 PM,Mumbai Indians Vs Pune Warriors India,Dr DY Patil Sports Academy, Mumbai,Leag,Mumbai Indians Won by 21 Run(s)
May 4,8:00 PM,Rajasthan Royals Vs Chennai Super Kings,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 8 Wicket(s)
May 5,4:00 PM,Deccan Chargers Vs Delhi Capitals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Delhi Capitals Won by 4 Wicket(s)
May 5,8:00 PM,Kochi Tuskers Kerala Vs Kolkata Knight Riders,Nehru Stadium, Kochi,Leag,Kochi Tuskers Kerala Won by 17 Run(s)
May 6,8:00 PM,Royal Challengers Bangalore Vs Kings XI Punjab,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 85 Run(s)
May 7,4:00 PM,Mumbai Indians Vs Delhi Capitals,Wankhede Stadium, Mumbai,Leag,Mumbai Indians Won by 32 Run(s)
May 7,8:00 PM,Chennai Super Kings Vs Kolkata Knight Riders,Eden Gardens, Kolkata,Leag,Kolkata Knight Riders Won by DL Method
May 8,4:00 PM,Kochi Tuskers Kerala Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 9 Wicket(s)
May 8,8:00 PM,Kings XI Punjab Vs Pune Warriors India,Punjab Cricket Association Stadium, Mohali, Chandigarh,Leag,Pune Warriors India Won by 5 Wicket(s)
May 9,8:00 PM,Chennai Super Kings Vs Rajasthan Royals,Sawai Mansingh Stadium, Jaipur,Leag,Chennai Super Kings Won by 63 Run(s)
May 10,4:00 PM,Kings XI Punjab Vs Mumbai Indians,Punjab Cricket Association Stadium, Mohali, Chandigarh,Leag,Kings XI Punjab Won by 76 Run(s)
May 10,8:00 PM,Deccan Chargers Vs Pune Warriors India,Rajiv Gandhi International Stadium, Uppal, Hyderabad,Leag,Pune Warriors India Won by 6 Wicket(s)
May 11,8:00 PM,Rajasthan Royals Vs Royal Challengers Bangalore,Sawai Mansingh Stadium, Jaipur,Leag,Royal Challengers Bangalore Won by 9 Wicket(s)
May 12,8:00 PM,Chennai Super Kings Vs Delhi Capitals,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 18 Run(s)
May 13,8:00 PM,Kochi Tuskers Kerala Vs Kings XI Punjab,Holkar Cricket Stadium, Indore,Leag,Kings XI Punjab Won by 6 Wicket(s)
May 14,4:00 PM,Deccan Chargers Vs Mumbai Indians,Wankhede Stadium, Mumbai,Leag,Deccan Chargers Won by 10 Run(s)
May 14,8:00 PM,Kolkata Knight Riders Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by DL Method
May 15,4:00 PM,Rajasthan Royals Vs Kochi Tuskers Kerala,Holkar Cricket Stadium, Indore,Leag,Kochi Tuskers Kerala Won by 8 Wicket(s)
May 15,8:00 PM,Kings XI Punjab Vs Delhi Capitals,Himachal Pradesh Cricket Association Stadium, Dharamsala,Leag,Kings XI Punjab Won by 29 Run(s)
May 16,8:00 PM,Pune Warriors India Vs Deccan Chargers,Dr DY Patil Sports Academy, Mumbai,Leag,Deccan Chargers Won by 6 Wicket(s)
May 17,8:00 PM,Kings XI Punjab Vs Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium, Dharamsala,Leag,Kings XI Punjab Won by 111 Run(s)
May 18,8:00 PM,Chennai Super Kings Vs Kochi Tuskers Kerala,MA Chidambaram Stadium, Chepauk, Chennai,Leag,Chennai Super Kings Won by 11 Run(s)
May 19,8:00 PM,Pune Warriors India Vs Kolkata Knight Riders,Dr DY Patil Sports Academy, Mumbai,Leag,Kolkata Knight Riders Won by 7 Wicket(s)
May 20,8:00 PM,Mumbai Indians Vs Rajasthan Royals,Wankhede Stadium, Mumbai,Leag,Rajasthan Royals Won by 10 Wicket(s)
May 21,4:00 PM,Delhi Capitals Vs Pune Warriors India,Feroz Shah Kotla, Delhi,Leag,No Result
May 21,8:00 PM,Deccan Chargers Vs Kings XI Punjab,Himachal Pradesh Cricket Association Stadium, Dharamsala,Leag,Deccan Chargers Won by 82 Run(s)
May 22,4:00 PM,Kolkata Knight Riders Vs Mumbai Indians,Eden Gardens, Kolkata,Leag,Mumbai Indians Won by 5 Wicket(s)
May 22,8:00 PM,Chennai Super Kings Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,Leag,Royal Challengers Bangalore Won by 8 Wicket(s)
May 24,8:00 PM,Royal Challengers Bangalore Vs Chennai Super Kings,Wankhede Stadium, Mumbai,Quali,Chennai Super Kings Won by 6 Wicket(s)
May 25,8:00 PM,Kolkata Knight Riders Vs Mumbai Indians,Wankhede Stadium, Mumbai,Elimi,Mumbai Indians Won by 4 Wicket(s)
May 27,8:00 PM,Royal Challengers Bangalore Vs Mumbai Indians,MA Chidambaram Stadium, Chepauk, Chennai,Quali,Royal Challengers Bangalore Won by 43 Run(s)
May 28,8:00 PM,Chennai Super Kings Vs Royal Challengers Bangalore,MA Chidambaram Stadium, Chepauk, Chennai,Final,Chennai Super Kings Won by 58 Run(s)
2011
Chennai Super Kings
