Match,Date,Time Local,Time GMT,Venue,Team 1,Team 2
41st T20,May 15, 2014,20:00,14:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Delhi Daredevils
42nd T20,May 18, 2014,16:00,10:30 GMT,MA Chidambaram Stadium - Chepauk, Chennai,Chennai Super Kings,Royal Challengers Bangalore
43rd T20,May 18, 2014,20:00,14:30 GMT,Rajiv Gandhi Int. Stadium, Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
44th T20,May 19, 2014,16:00,10:30 GMT,Sardar Patel Stadium Motera, Ahmedabad,Rajasthan Royals,Mumbai Indians
45th T20,May 19, 2014,20:00,14:30 GMT,Feroz Shah Kotla, Delhi,Delhi Daredevils,Kings XI Punjab
46th T20,May 20, 2014,16:00,10:30 GMT,Rajiv Gandhi Int. Stadium, Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
47th T20,May 20, 2014,20:00,14:30 GMT,Eden Gardens, Kolkata,Kolkata Knight Riders,Chennai Super Kings
48th T20,May 21, 2014,20:00,14:30 GMT,Punjab C.A. Stadium, Mohali,Kings XI Punjab,Mumbai Indians
49th T20,May 22, 2014,16:00,10:30 GMT,Eden Gardens, Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
50th T20,May 22, 2014,20:00,14:30 GMT,MA Chidambaram Stadium - Chepauk, Chennai,Chennai Super Kings,Sunrisers Hyderabad
51st T20,May 23, 2014,16:00,10:30 GMT,Wankhede Stadium, Mumbai,Mumbai Indians,Delhi Daredevils
52nd T20,May 23, 2014,20:00,14:30 GMT,Punjab C.A. Stadium, Mohali,Kings XI Punjab,Rajasthan Royals
53rd T20,May 24, 2014,16:00,10:30 GMT,M.Chinnaswamy Stadium, Bangalore,Royal Challengers Bangalore,Chennai Super Kings
54th T20,May 24, 2014,20:00,14:30 GMT,Eden Gardens, Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
55th T20,May 25, 2014,16:00,10:30 GMT,Punjab C.A. Stadium, Mohali,Kings XI Punjab,Delhi Daredevils
56th T20,May 25, 2014,20:00,14:30 GMT,Wankhede Stadium, Mumbai,Mumbai Indians,Rajasthan Royals
Qualifier 1 T20,May 27, 2014,20:00,14:30 GMT,MA Chidambaram Stadium - Chepauk, Chennai,TBC,TBC
Eliminator T20,May 28, 2014,20:00,14:30 GMT,MA Chidambaram Stadium - Chepauk, Chennai,TBC,TBC
Qualifier 2 T20,May 30, 2014,20:00,14:30 GMT,Wankhede Stadium, Mumbai,TBC,TBC
Final T20,Jun 1, 2014,20:00,14:30 GMT,Wankhede Stadium, Mumbai,TBC,TBC
2014
