Date,Year,Time,Teams,Venue,Match Type,Result
April 30,2009,8:00 PM IST,Chennai Super Kings vs Rajasthan Royals,SuperSport Park, Centurion,League,Chennai Super Kings Won by 38 Run(s)
May 1,2009,4:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,Kingsmead, Durban,League,Royal Challengers Bangalore Won by 8 Run(s)
May 1,2009,8:00 PM IST,Mumbai Indians vs Kolkata Knight Riders,Buffalo Park, East London,League,Mumbai Indians Won by 9 Run(s)
May 2,2009,4:00 PM IST,Deccan Chargers vs Rajasthan Royals,St George's Park, Port Elizabeth,League,Rajasthan Royals Won by 3 Wicket(s)
May 2,2009,8:00 PM IST,Chennai Super Kings vs Delhi Capitals,New Wanderers Stadium, Johannesburg,League,Chennai Super Kings Won by 18 Run(s)
May 3,2009,4:00 PM IST,Kolkata Knight Riders vs Kings XI Punjab,St George's Park, Port Elizabeth,League,Kings XI Punjab Won by 6 Wicket(s)
May 3,2009,8:00 PM IST,Mumbai Indians vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,League,Royal Challengers Bangalore Won by 9 Wicket(s)
May 4,2009,8:00 PM IST,Chennai Super Kings vs Deccan Chargers,Buffalo Park, East London,League,Chennai Super Kings Won by 78 Run(s)
May 5,2009,4:00 PM IST,Rajasthan Royals vs Kings XI Punjab,Kingsmead, Durban,League,Rajasthan Royals Won by 78 Run(s)
May 5,2009,8:00 PM IST,Kolkata Knight Riders vs Delhi Capitals,Kingsmead, Durban,League,Delhi Capitals Won by 9 Wicket(s)
May 6,2009,8:00 PM IST,Deccan Chargers vs Mumbai Indians,SuperSport Park, Centurion,League,Deccan Chargers Won by 19 Run(s)
May 7,2009,4:00 PM IST,Royal Challengers Bangalore vs Rajasthan Royals,SuperSport Park, Centurion,League,Rajasthan Royals Won by 7 Wicket(s)
May 7,2009,8:00 PM IST,Chennai Super Kings vs Kings XI Punjab,SuperSport Park, Centurion,League,Chennai Super Kings Won by DL Method
May 8,2009,8:00 PM IST,Mumbai Indians vs Delhi Capitals,Buffalo Park, East London,League,Delhi Capitals Won by 7 Wicket(s)
May 9,2009,4:00 PM IST,Deccan Chargers vs Kings XI Punjab,De Beers Diamond Oval, Kimberley,League,Kings XI Punjab Won by 3 Wicket(s)
May 9,2009,8:00 PM IST,Rajasthan Royals vs Chennai Super Kings,De Beers Diamond Oval, Kimberley,League,Chennai Super Kings Won by 7 Wicket(s)
May 10,2009,4:00 PM IST,Mumbai Indians vs Royal Challengers Bangalore,St George's Park, Port Elizabeth,League,Mumbai Indians Won by 16 Run(s)
May 10,2009,8:00 PM IST,Kolkata Knight Riders vs Delhi Capitals,New Wanderers Stadium, Johannesburg,League,Delhi Capitals Won by 7 Wicket(s)
May 11,2009,8:00 PM IST,Deccan Chargers vs Rajasthan Royals,De Beers Diamond Oval, Kimberley,League,Deccan Chargers Won by 53 Run(s)
May 12,2009,4:00 PM IST,Kolkata Knight Riders vs Royal Challengers Bangalore,SuperSport Park, Centurion,League,Royal Challengers Bangalore Won by 6 Wicket(s)
May 12,2009,8:00 PM IST,Kings XI Punjab vs Mumbai Indians,SuperSport Park, Centurion,League,Mumbai Indians Won by 8 Wicket(s)
May 13,2009,8:00 PM IST,Delhi Capitals vs Deccan Chargers,Kingsmead, Durban,League,Delhi Capitals Won by 12 Run(s)
May 14,2009,4:00 PM IST,Chennai Super Kings vs Royal Challengers Bangalore,Kingsmead, Durban,League,Royal Challengers Bangalore Won by 2 Wicket(s)
May 14,2009,8:00 PM IST,Rajasthan Royals vs Mumbai Indians,Kingsmead, Durban,League,Rajasthan Royals Won by 2 Run(s)
May 15,2009,8:00 PM IST,Delhi Capitals vs Kings XI Punjab,OUTsurance Oval, Bloemfontein,League,Kings XI Punjab Won by 6 Wicket(s)
May 16,2009,4:00 PM IST,Mumbai Indians vs Chennai Super Kings,St George's Park, Port Elizabeth,League,Chennai Super Kings Won by 7 Wicket(s)
May 16,2009,8:00 PM IST,Kolkata Knight Riders vs Deccan Chargers,New Wanderers Stadium, Johannesburg,League,Deccan Chargers Won by 6 Wicket(s)
May 17,2009,4:00 PM IST,Kings XI Punjab vs Deccan Chargers,New Wanderers Stadium, Johannesburg,League,Kings XI Punjab Won by 1 Run(s)
May 17,2009,8:00 PM IST,Delhi Capitals vs Rajasthan Royals,OUTsurance Oval, Bloemfontein,League,Delhi Capitals Won by 14 Run(s)
May 18,2009,8:00 PM IST,Chennai Super Kings vs Kolkata Knight Riders,SuperSport Park, Centurion,League,Kolkata Knight Riders Won by 7 Wicket(s)
May 19,2009,8:00 PM IST,Delhi Capitals vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,League,Royal Challengers Bangalore Won by 7 Wicket(s)
May 20,2009,4:00 PM IST,Chennai Super Kings vs Kings XI Punjab,Kingsmead, Durban,League,Chennai Super Kings Won by 24 Run(s)
May 20,2009,8:00 PM IST,Rajasthan Royals vs Kolkata Knight Riders,Kingsmead, Durban,League,Kolkata Knight Riders Won by 4 Wicket(s)
May 21,2009,4:00 PM IST,Mumbai Indians vs Delhi Capitals,SuperSport Park, Centurion,League,Delhi Capitals Won by 4 Wicket(s)
May 21,2009,8:00 PM IST,Royal Challengers Bangalore vs Deccan Chargers,SuperSport Park, Centurion,League,Royal Challengers Bangalore Won by 12 Run(s)
May 22,2009,8:00 PM IST,Delhi Capitals vs Deccan Chargers,SuperSport Park, Centurion,Qualifier,Deccan Chargers Won by 6 Wicket(s)
May 23,2009,8:00 PM IST,Chennai Super Kings vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Qualifier,Royal Challengers Bangalore Won by 6 Wicket(s)
May 24,2009,8:00 PM IST,Deccan Chargers vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Final,Deccan Chargers Won by 6 Run(s)
Winner of season: Deccan Chargers
2009
