Date,Year,Time,Teams,Venue,Match Type,Result
April 18,2009,4:00 PM IST,Mumbai Indians vs Chennai Super Kings,Newlands, Cape Town,League,Mumbai Indians Won by 19 Run(s)
April 18,2009,8:00 PM IST,Royal Challengers Bangalore vs Rajasthan Royals,Newlands, Cape Town,League,Royal Challengers Bangalore Won by 75 Run(s)
April 19,2009,4:00 PM IST,Kings XI Punjab vs Delhi Capitals,Newlands, Cape Town,League,Delhi Capitals Won by DL Method
April 19,2009,8:00 PM IST,Kolkata Knight Riders vs Deccan Chargers,Newlands, Cape Town,League,Deccan Chargers Won by 8 Wicket(s)
April 20,2009,8:00 PM IST,Chennai Super Kings vs Royal Challengers Bangalore,St George's Park, Port Elizabeth,League,Chennai Super Kings Won by 92 Run(s)
April 21,2009,8:00 PM IST,Kings XI Punjab vs Kolkata Knight Riders,Kingsmead, Durban,League,Kolkata Knight Riders Won by DL Method
April 22,2009,8:00 PM IST,Deccan Chargers vs Royal Challengers Bangalore,Newlands, Cape Town,League,Deccan Chargers Won by 24 Run(s)
April 23,2009,4:00 PM IST,Rajasthan Royals vs Kolkata Knight Riders,Newlands, Cape Town,League,Rajasthan Royals Won by
April 23,2009,8:00 PM IST,Delhi Capitals vs Chennai Super Kings,Kingsmead, Durban,League,Delhi Capitals Won by 9 Run(s)
April 24,2009,8:00 PM IST,Royal Challengers Bangalore vs Kings XI Punjab,Kingsmead, Durban,League,Kings XI Punjab Won by 7 Wicket(s)
April 25,2009,8:00 PM IST,Deccan Chargers vs Mumbai Indians,Kingsmead, Durban,League,Deccan Chargers Won by 12 Run(s)
April 26,2009,4:00 PM IST,Kings XI Punjab vs Rajasthan Royals,Newlands, Cape Town,League,Kings XI Punjab Won by 27 Run(s)
April 26,2009,8:00 PM IST,Royal Challengers Bangalore vs Delhi Capitals,St George's Park, Port Elizabeth,League,Delhi Capitals Won by 6 Wicket(s)
April 27,2009,4:00 PM IST,Chennai Super Kings vs Deccan Chargers,Kingsmead, Durban,League,Deccan Chargers Won by 6 Wicket(s)
April 27,2009,8:00 PM IST,Mumbai Indians vs Kolkata Knight Riders,St George's Park, Port Elizabeth,League,Mumbai Indians Won by 92 Run(s)
April 28,2009,8:00 PM IST,Delhi Capitals vs Rajasthan Royals,SuperSport Park, Centurion,League,Rajasthan Royals Won by 5 Wicket(s)
April 29,2009,4:00 PM IST,Kings XI Punjab vs Mumbai Indians,Kingsmead, Durban,League,Kings XI Punjab Won by 3 Run(s)
April 29,2009,8:00 PM IST,Kolkata Knight Riders vs Royal Challengers Bangalore,Kingsmead, Durban,League,Royal Challengers Bangalore Won by 5 Wicket(s)
April 30,2009,4:00 PM IST,Deccan Chargers vs Delhi Capitals,SuperSport Park, Centurion,League,Delhi Capitals Won by 6 Wicket(s)
