Date,Time,Teams,Venue,Match Type,Result
April 28,8:00 PM,Kolkata Knight Riders Vs Royal Challengers Bangalore,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 47 Run(s)
April 29,4:00 PM,Delhi Capitals Vs Rajasthan Royals,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 1 Run(s)
April 29,8:00 PM,Deccan Chargers Vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 5 Wicket(s)
April 30,8:00 PM,Chennai Super Kings Vs Kolkata Knight Riders,MA Chidambaram Stadium, Chepauk, Chennai,League,Kolkata Knight Riders Won by 5 Wicket(s)
May 1,4:00 PM,Deccan Chargers Vs Pune Warriors India,Barabati Stadium, Cuttack,League,Deccan Chargers Won by 13 Run(s)
May 1,8:00 PM,Rajasthan Royals Vs Delhi Capitals,Sawai Mansingh Stadium, Jaipur,League,Delhi Capitals Won by 6 Wicket(s)
May 2,8:00 PM,Royal Challengers Bangalore Vs Kings XI Punjab,M Chinnaswamy Stadium, Bangalore,League,Kings XI Punjab Won by 4 Wicket(s)
May 3,8:00 PM,Mumbai Indians Vs Pune Warriors India,Subrata Roy Sahara Stadium, Pune,League,Mumbai Indians Won by 1 Run(s)
May 4,8:00 PM,Chennai Super Kings Vs Deccan Chargers,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 10 Run(s)
May 5,4:00 PM,Kolkata Knight Riders Vs Pune Warriors India,Eden Gardens, Kolkata,League,Kolkata Knight Riders Won by 7 Run(s)
May 5,8:00 PM,Rajasthan Royals Vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Rajasthan Royals Won by 43 Run(s)
May 6,4:00 PM,Deccan Chargers Vs Royal Challengers Bangalore,M Chinnaswamy Stadium, Bangalore,League,Royal Challengers Bangalore Won by 5 Wicket(s)
May 6,8:00 PM,Chennai Super Kings Vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Mumbai Indians Won by 2 Wicket(s)
